Epoch,MSE Loss
1,0.34382813020807795
2,0.3225436770036572
3,0.16906987032929405
4,0.16317270934337474
5,0.13024549638150168
6,0.1048873563403966
7,0.09551999669094555
8,0.09617163540154207
9,0.09325342320027899
10,0.09981056211180374
11,0.09137106173839725
12,0.09707107608679866
13,0.09195191907833834
14,0.0914626637565308
15,0.09114835221992164
16,0.09018499599617036
17,0.09037592176531183
18,0.09183948212226883
19,0.0906312675138966
20,0.09044920860743913
21,0.09171668000397135
22,0.09351421129263815
23,0.09450224512180344
24,0.09248943058926551
25,0.088953862119405
26,0.09197211009068568
27,0.09677793433676
28,0.08870459885382262
29,0.09072345867753029
30,0.09244550807309933
31,0.09241395724601432
32,0.08863233805435602
33,0.09354989578733679
